parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,no need or no have tags,getPermTagsAndValues <:*:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,msg,no need compute team member perm,Response=<:MAP:>,message,approve callback start,svc.ApproveCallback failed,approve status error,superiorAndDeputy empty,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,strconv.ParseIn<:updateFanweiEmployee failed:>,getBackupEm<:updateFanweiEmployee failed:>,callback status error,timestamp,unknown
5173,5173,5173,5173,2027,24,204,24,147,2027,57,24,122,120,118,24,24,204,57,30,30,0,24,6,6,6,6,6,4,2,2,2,2,2,0,2023-12-20 17:56:00,0
5164,5163,5163,5163,2020,24,202,24,144,2020,58,24,121,120,117,24,24,202,58,27,27,0,24,3,3,3,3,2,6,2,2,2,1,1,1,2023-12-20 17:58:00,0
5165,5166,5166,5166,2021,24,196,24,145,2021,51,24,124,119,119,24,24,196,51,28,28,0,24,4,4,4,4,3,0,2,2,2,5,5,1,2023-12-20 18:00:00,0
5113,5116,5112,5112,1991,24,213,24,146,1991,67,24,120,117,117,24,24,213,67,30,30,5,24,6,6,6,6,6,0,2,2,2,3,3,0,2023-12-20 18:02:00,0
5175,5176,5176,5176,2035,24,192,24,145,2035,47,24,123,120,120,24,24,192,47,27,27,4,24,3,3,3,3,3,0,2,2,2,3,3,0,2023-12-20 18:04:00,0
5150,5149,5149,5149,2014,24,207,24,144,2014,63,24,118,118,117,24,24,207,63,28,28,0,24,4,4,4,4,3,2,2,2,2,0,0,1,2023-12-20 18:06:00,0
5210,5211,5211,5211,2043,24,205,24,146,2043,59,24,122,120,119,24,24,205,59,27,27,4,24,3,3,3,3,3,2,2,2,2,2,2,0,2023-12-20 18:08:00,0
5181,5180,5180,5180,2035,24,196,24,148,2035,48,24,121,120,118,24,24,196,48,31,31,0,24,7,7,7,7,6,4,2,2,2,1,1,1,2023-12-20 18:10:00,0
5163,5164,5164,5164,2016,24,205,24,144,2016,61,24,122,119,118,24,24,205,61,27,27,0,24,3,3,3,3,3,2,2,2,2,3,3,0,2023-12-20 18:12:00,0
5142,5144,5142,5142,2014,24,190,24,145,2014,45,24,126,120,119,24,24,190,45,28,28,0,24,4,4,4,4,4,2,2,2,2,6,6,0,2023-12-20 18:14:00,0
5145,5145,5145,5145,2020,24,187,24,145,2020,42,24,120,119,118,24,24,187,42,28,28,0,24,4,4,4,4,4,2,2,2,2,1,1,0,2023-12-20 18:16:00,0
5179,5201,5178,5178,2026,23,207,23,147,2026,60,23,123,118,118,23,23,207,60,30,30,0,23,6,6,6,6,6,0,2,2,2,5,5,0,2023-12-20 18:18:00,0
5162,5163,5163,5163,2015,23,209,23,144,2015,65,23,122,119,118,23,23,209,65,27,27,2,23,3,3,3,3,3,2,2,2,2,3,3,0,2023-12-20 18:20:00,0
5161,5161,5161,5161,2015,24,205,24,145,2015,60,24,125,120,118,24,24,205,60,28,28,3,24,4,4,4,4,3,4,2,2,2,5,5,1,2023-12-20 18:22:00,0
5193,5195,5193,5193,2034,24,205,24,148,2034,57,24,124,119,118,24,24,205,57,30,30,1,24,6,6,6,6,6,2,2,2,2,5,5,0,2023-12-20 18:24:00,0
5121,5122,5121,5121,2010,24,189,24,143,2010,46,24,121,120,117,24,24,189,46,27,27,0,24,3,3,3,3,3,6,2,2,2,1,1,0,2023-12-20 18:26:00,0
5177,5177,5177,5177,2027,24,205,24,145,2027,60,24,122,120,118,24,24,205,60,28,28,0,24,4,4,4,4,3,4,2,2,2,2,2,1,2023-12-20 18:28:00,0
5210,5212,5210,5210,2041,24,213,24,145,2041,68,24,124,120,119,24,24,213,68,27,27,7,24,3,3,3,3,3,2,2,2,2,4,4,0,2023-12-20 18:30:00,0
5156,5156,5156,5156,2018,24,209,24,148,2018,61,24,120,119,118,24,24,209,61,31,31,0,24,7,7,7,7,7,2,2,2,2,1,1,0,2023-12-20 18:32:00,0
5203,5202,5202,5202,2027,24,228,24,144,2027,84,24,121,119,118,24,24,228,84,27,27,0,24,3,3,3,3,3,2,2,2,2,2,2,0,2023-12-20 18:34:00,0
5196,5197,5197,5197,2029,24,217,24,145,2029,72,24,125,120,118,24,24,217,72,28,28,0,24,4,4,4,4,4,4,2,2,2,5,5,0,2023-12-20 18:36:00,0
5200,5200,5200,5200,2030,24,213,24,148,2030,65,24,125,120,118,24,24,213,65,30,30,0,24,6,6,6,6,6,4,2,2,2,5,5,0,2023-12-20 18:38:00,0
5182,5181,5181,5181,2023,24,215,24,145,2023,70,24,122,119,118,24,24,215,70,28,28,0,24,4,4,4,4,3,2,2,2,2,3,3,1,2023-12-20 18:40:00,0
5138,5138,5138,5138,2008,24,206,24,143,2008,63,24,119,118,118,24,24,206,63,27,27,0,24,3,3,3,3,3,0,2,2,2,1,1,0,2023-12-20 18:42:00,0
5167,5168,5168,5168,2019,22,207,22,145,2019,62,22,127,121,118,22,22,207,62,28,28,0,22,4,4,4,4,3,6,2,2,2,6,6,1,2023-12-20 18:44:00,0
5186,5185,5185,5185,2022,24,224,24,147,2022,77,24,126,120,117,24,24,224,77,30,30,0,24,6,6,6,6,6,6,2,2,2,6,6,0,2023-12-20 18:46:00,0
5139,5140,5140,5140,2003,24,217,24,144,2003,73,24,121,117,117,24,24,217,73,28,28,0,24,4,4,4,4,4,0,2,2,2,4,4,0,2023-12-20 18:48:00,0
5195,5195,5195,5195,2036,24,255,24,145,2036,110,24,124,121,119,24,24,255,59,28,28,0,24,4,4,3,3,3,4,2,2,2,3,3,0,2023-12-20 18:50:00,52
5182,5182,5182,5182,2029,24,208,24,149,2029,59,24,120,119,118,24,24,208,59,31,31,0,24,7,7,7,7,7,2,2,2,2,1,1,0,2023-12-20 18:52:00,0
5172,5171,5171,5171,2017,24,210,24,143,2017,67,24,126,119,117,24,24,210,67,27,27,0,24,3,3,3,3,3,4,2,2,2,7,7,0,2023-12-20 18:54:00,0
5204,5205,5205,5205,2023,24,226,24,144,2023,82,24,129,123,119,24,24,226,82,27,27,0,24,3,3,3,3,3,8,2,2,2,6,6,0,2023-12-20 18:56:00,0
5166,5166,5166,5166,2017,24,206,24,145,2017,61,24,125,121,118,24,24,206,61,28,28,0,24,4,4,4,4,3,6,2,2,2,4,4,1,2023-12-20 18:58:00,0
5192,5192,5192,5192,2027,24,219,24,147,2027,72,24,125,120,118,24,24,219,72,30,30,0,24,6,6,6,6,6,4,2,2,2,5,5,0,2023-12-20 19:00:00,0
5133,5132,5132,5132,2003,24,309,24,145,2003,164,24,122,119,118,24,24,309,164,28,28,0,24,4,4,4,4,3,2,2,2,2,3,3,1,2023-12-20 19:02:00,0
5143,5144,5144,5144,2016,24,196,24,143,2016,53,24,121,118,118,24,24,196,53,27,27,0,24,3,3,3,3,3,0,2,2,2,3,3,0,2023-12-20 19:04:00,0
5144,5166,5143,5143,2017,24,194,24,145,2017,49,24,119,118,117,24,24,194,49,28,28,0,24,4,4,4,4,4,2,2,2,2,1,1,0,2023-12-20 19:06:00,0
5184,5184,5184,5184,2026,22,219,22,147,2026,72,22,123,119,118,22,22,219,72,30,30,0,22,6,6,6,6,6,2,2,2,2,4,4,0,2023-12-20 19:08:00,0
5114,5138,5115,5115,1997,24,209,24,144,1997,65,24,120,118,117,24,24,209,65,28,28,0,24,4,4,4,4,4,2,2,2,2,2,2,0,2023-12-20 19:10:00,0
5167,5167,5167,5167,2023,24,200,24,144,2023,56,24,120,120,118,24,24,200,56,27,27,0,24,3,3,3,3,3,4,2,2,2,0,0,0,2023-12-20 19:12:00,0
5198,5198,5198,5198,2042,24,202,24,149,2042,53,24,121,120,119,24,24,202,53,31,31,0,24,7,7,7,7,6,2,2,2,2,1,1,1,2023-12-20 19:14:00,0
5165,5164,5164,5164,2023,24,194,24,144,2023,50,24,123,120,119,24,24,194,50,27,27,0,24,3,3,3,3,3,2,2,2,2,3,3,0,2023-12-20 19:16:00,0
5164,5164,5164,5164,2028,24,186,24,144,2028,42,24,125,122,119,24,24,186,42,27,27,0,24,3,3,3,3,3,6,2,2,2,3,3,0,2023-12-20 19:18:00,0
5204,5205,5205,5205,2036,24,216,24,146,2036,70,24,121,120,118,24,24,216,70,28,28,0,24,4,4,4,4,3,4,2,2,2,1,1,1,2023-12-20 19:20:00,0
5181,5181,5181,5181,2017,24,223,24,148,2017,75,24,126,121,119,24,24,223,75,31,31,0,24,7,7,7,7,7,4,2,2,2,5,5,0,2023-12-20 19:22:00,0
5144,5144,5144,5144,2008,24,201,24,144,2008,57,24,124,121,117,24,24,201,57,27,27,0,24,3,3,3,3,3,8,2,2,2,3,3,0,2023-12-20 19:24:00,0
5213,5213,5213,5213,2040,24,213,24,145,2040,68,24,124,120,119,24,24,213,68,27,27,0,24,3,3,3,3,3,2,2,2,2,4,4,0,2023-12-20 19:26:00,0
5197,5197,5197,5197,2030,24,221,24,148,2030,73,24,124,120,118,24,24,221,73,31,31,0,24,7,7,7,7,7,4,2,2,2,4,4,0,2023-12-20 19:28:00,0
5200,5199,5199,5199,2033,24,216,24,145,2033,71,24,120,119,118,24,24,216,71,27,27,0,24,3,3,3,3,3,2,2,2,2,1,1,0,2023-12-20 19:30:00,0
5162,5163,5163,5163,2019,22,207,22,144,2019,63,22,126,120,118,22,22,207,63,27,27,0,22,4,4,4,4,3,4,2,2,2,6,6,1,2023-12-20 19:32:00,0
5196,5195,5195,5195,2033,24,207,24,144,2033,63,24,124,121,118,24,24,207,63,27,27,0,24,3,3,3,3,3,6,2,2,2,3,3,0,2023-12-20 19:34:00,0
5170,5171,5171,5171,2018,24,213,24,148,2018,65,24,120,119,118,24,24,213,65,31,31,0,24,7,7,7,7,6,2,2,2,2,1,1,1,2023-12-20 19:36:00,0
5194,5194,5194,5194,2020,24,226,24,143,2020,83,24,130,121,118,24,24,226,83,27,27,0,24,3,3,3,3,3,6,2,2,2,9,9,0,2023-12-20 19:38:00,0
5159,5158,5158,5158,2014,24,200,24,145,2014,55,24,126,119,118,24,24,200,55,28,28,0,24,4,4,4,4,4,2,2,2,2,7,7,0,2023-12-20 19:40:00,0
5176,5174,5174,5174,2021,24,206,24,144,2021,62,24,126,120,118,24,24,206,62,27,27,0,24,3,3,3,3,3,4,2,2,2,6,6,0,2023-12-20 19:42:00,0
5158,5160,5160,5160,2012,24,212,24,149,2012,63,24,125,122,118,24,24,212,63,32,32,0,24,7,7,7,7,7,8,2,2,2,3,3,0,2023-12-20 19:44:00,0
5164,5162,5162,5162,2016,24,206,24,143,2016,63,24,122,118,118,24,24,206,63,27,27,0,24,3,3,3,3,3,0,2,2,2,4,4,0,2023-12-20 19:46:00,0
5191,5194,5194,5194,2019,24,240,24,145,2019,95,24,118,118,117,24,24,240,95,28,28,0,24,4,4,4,4,3,2,2,2,2,0,0,1,2023-12-20 19:48:00,0
5209,5209,5209,5209,2034,24,273,24,149,2034,124,24,126,120,119,24,24,273,73,31,31,0,24,7,7,6,6,6,2,2,2,2,6,6,0,2023-12-20 19:50:00,52
5166,5166,5166,5166,2018,24,209,24,144,2018,65,24,119,119,118,24,24,209,65,27,27,0,24,3,3,3,3,3,2,2,2,2,0,0,0,2023-12-20 19:52:00,0
5136,5136,5136,5136,2009,22,206,22,143,2009,63,22,123,121,118,22,22,206,63,27,27,0,22,4,4,4,4,3,6,2,2,2,2,2,1,2023-12-20 19:54:00,0
5185,5185,5185,5185,2030,24,201,24,145,2030,56,24,121,118,118,24,24,201,56,27,27,0,24,3,3,3,3,3,0,2,2,2,3,3,0,2023-12-20 19:56:00,0
5186,5205,5186,5186,2024,24,224,24,148,2024,76,24,120,119,118,24,24,224,76,31,31,0,24,7,7,7,7,7,2,2,2,2,1,1,0,2023-12-20 19:58:00,0
5162,5161,5161,5161,2024,24,193,24,144,2024,49,24,122,122,118,24,24,193,49,27,27,9,24,3,3,3,3,3,8,2,2,2,0,0,0,2023-12-20 20:00:00,0
5166,5165,5165,5165,2012,24,318,24,145,2012,173,24,121,119,118,24,24,318,173,28,28,2,24,4,4,4,4,4,2,2,2,2,2,2,0,2023-12-20 20:02:00,0
5182,5183,5183,5183,2022,24,215,24,145,2022,70,24,125,121,119,24,24,215,70,28,28,0,24,4,4,4,4,3,4,2,2,2,4,4,1,2023-12-20 20:04:00,0
5184,5182,5182,5182,2023,24,217,24,148,2023,69,24,124,121,118,24,24,217,69,31,31,0,24,7,7,7,7,7,6,2,2,2,3,3,0,2023-12-20 20:06:00,0
5171,5174,5174,5174,2015,24,218,24,143,2015,75,24,121,119,118,24,24,218,75,27,27,0,24,3,3,3,3,3,2,2,2,2,2,2,0,2023-12-20 20:08:00,0
5192,5192,5192,5192,2032,24,212,24,146,2032,66,24,119,118,118,24,24,212,66,28,28,0,24,4,4,4,4,3,0,2,2,2,1,1,1,2023-12-20 20:10:00,0
5139,5139,5139,5139,2007,24,200,24,148,2007,52,24,124,121,118,24,24,200,52,32,32,0,24,8,8,8,8,8,6,2,2,2,3,3,0,2023-12-20 20:12:00,0
5188,5188,5188,5188,2031,24,208,24,145,2031,63,24,122,119,118,24,24,208,63,27,27,0,24,3,3,3,3,3,2,2,2,2,3,3,0,2023-12-20 20:14:00,0
5167,5166,5166,5166,2020,24,200,24,145,2020,55,24,126,123,118,24,24,200,55,28,28,0,24,4,4,4,4,4,10,2,2,2,3,3,0,2023-12-20 20:16:00,0
5108,5108,5108,5108,2010,22,178,22,144,2010,34,22,119,117,117,22,22,178,34,28,28,0,22,4,4,4,4,4,0,2,2,2,2,2,0,2023-12-20 20:18:00,0
5217,5218,5218,5218,2037,24,227,24,149,2037,78,24,122,119,119,24,24,227,78,31,31,0,24,7,7,7,7,6,0,2,2,2,3,3,1,2023-12-20 20:20:00,0
5168,5168,5168,5168,2012,24,216,24,145,2012,71,24,128,120,118,24,24,216,71,28,28,0,24,4,4,4,4,4,4,2,2,2,8,8,0,2023-12-20 20:22:00,0
5202,5202,5202,5202,2026,24,228,24,145,2026,83,24,122,120,118,24,24,228,83,28,28,0,24,4,4,4,4,3,4,2,2,2,2,2,1,2023-12-20 20:24:00,0
5155,5155,5155,5155,2018,24,200,24,148,2018,52,24,123,120,118,24,24,200,52,31,31,0,24,7,7,7,7,7,4,2,2,2,3,3,0,2023-12-20 20:26:00,0
5161,5160,5160,5160,2013,24,202,24,144,2013,58,24,126,121,118,24,24,202,58,28,28,0,24,4,4,4,4,4,6,2,2,2,5,5,0,2023-12-20 20:28:00,0
5169,5169,5169,5169,2021,24,197,24,144,2021,53,24,124,119,117,24,24,197,53,27,27,0,24,3,3,3,3,3,4,2,2,2,5,5,0,2023-12-20 20:30:00,0
5204,5205,5205,5205,2032,24,223,24,146,2032,77,24,124,121,119,24,24,223,77,28,28,0,24,4,4,4,4,4,4,2,2,2,3,3,0,2023-12-20 20:32:00,0
5169,5168,5168,5168,2018,24,209,24,148,2018,61,24,125,121,118,24,24,209,61,31,31,0,24,7,7,7,7,7,6,2,2,2,4,4,0,2023-12-20 20:34:00,0
5161,5162,5162,5162,2019,24,201,24,145,2019,56,24,119,118,118,24,24,201,56,28,28,0,24,4,4,4,4,3,0,2,2,2,1,1,1,2023-12-20 20:36:00,0
5196,5196,5196,5196,2027,24,226,24,145,2027,81,24,122,120,119,24,24,226,81,28,28,0,24,4,4,4,4,4,2,2,2,2,2,2,0,2023-12-20 20:38:00,0
5151,5151,5151,5151,2012,24,213,24,144,2012,69,24,122,118,117,24,24,213,69,28,28,0,24,4,4,4,4,3,2,2,2,2,4,4,1,2023-12-20 20:40:00,0
5133,5154,5133,5133,2014,22,191,22,148,2014,43,22,122,121,119,22,22,191,43,31,31,0,22,7,7,7,7,7,4,2,2,2,1,1,0,2023-12-20 20:42:00,0
5169,5169,5169,5169,2010,24,225,24,145,2010,80,24,124,119,117,24,24,225,80,28,28,0,24,4,4,4,4,4,4,2,2,2,5,5,0,2023-12-20 20:44:00,0
5157,5157,5157,5157,2012,24,205,24,143,2012,62,24,125,121,118,24,24,205,62,27,27,0,24,3,3,3,3,3,6,2,2,2,4,4,0,2023-12-20 20:46:00,1
5183,5183,5183,5183,2024,24,216,24,149,2024,67,24,125,121,118,24,24,216,67,32,32,0,24,8,8,8,8,8,6,2,2,2,4,4,0,2023-12-20 20:48:00,0
5161,5161,5161,5161,2020,24,247,24,145,2020,102,24,124,120,118,24,24,247,51,28,28,10,24,4,4,3,3,3,4,2,2,2,4,4,0,2023-12-20 20:50:00,52
5172,5171,5171,5171,2024,24,200,24,145,2024,55,24,130,122,118,24,24,200,55,28,28,0,24,4,4,4,4,3,8,2,2,2,8,8,1,2023-12-20 20:52:00,0
5176,5178,5176,5176,2013,24,230,24,144,2013,86,24,122,120,117,24,24,230,86,28,28,0,24,4,4,4,4,4,6,2,2,2,2,2,0,2023-12-20 20:54:00,0
5202,5203,5203,5203,2030,24,221,24,149,2030,72,24,122,121,119,24,24,221,72,31,31,0,24,7,7,7,7,6,4,2,2,2,1,1,1,2023-12-20 20:56:00,0
5198,5197,5197,5197,2026,24,228,24,145,2026,83,24,122,119,119,24,24,228,83,28,28,0,24,4,4,4,4,4,0,2,2,2,3,3,0,2023-12-20 20:58:00,0
5161,5161,5161,5161,2016,24,210,24,145,2016,65,24,125,120,117,24,24,210,65,28,28,0,24,4,4,4,4,4,6,2,2,2,5,5,0,2023-12-20 21:00:00,0
5168,5167,5169,5169,2017,24,209,24,148,2017,61,24,122,120,118,24,24,209,61,31,31,0,24,7,7,7,7,7,4,2,2,2,2,2,0,2023-12-20 21:02:00,0
5160,5160,5160,5160,2021,24,197,24,145,2021,52,24,121,119,118,24,24,197,52,28,28,0,24,4,4,4,4,4,2,2,2,2,2,2,0,2023-12-20 21:04:00,0
5166,5185,5166,5166,2023,22,201,22,144,2023,57,22,120,119,118,22,22,201,57,27,27,0,22,3,3,3,3,3,2,2,2,2,1,1,0,2023-12-20 21:06:00,0
5194,5194,5194,5194,2031,24,211,24,145,2031,66,24,123,118,118,24,24,211,66,28,28,0,24,4,4,4,4,3,0,2,2,2,5,5,1,2023-12-20 21:08:00,0
5187,5187,5187,5187,2022,24,223,24,148,2022,75,24,123,120,118,24,24,223,75,31,31,0,24,7,7,7,7,7,4,2,2,2,3,3,0,2023-12-20 21:10:00,0
5184,5184,5184,5184,2019,24,217,24,145,2019,72,24,125,119,118,24,24,217,72,28,28,0,24,4,4,4,4,3,2,2,2,2,6,6,1,2023-12-20 21:12:00,0
5177,5176,5176,5176,2024,24,211,24,145,2024,66,24,122,119,118,24,24,211,66,28,28,0,24,4,4,4,4,4,2,2,2,2,3,3,0,2023-12-20 21:14:00,0
5172,5173,5173,5173,2026,24,195,24,145,2026,50,24,127,122,118,24,24,195,50,28,28,0,24,4,4,4,4,4,8,2,2,2,5,5,0,2023-12-20 21:16:00,0
5169,5169,5169,5169,2026,24,195,24,148,2026,47,24,123,119,118,24,24,195,47,31,31,0,24,7,7,7,7,7,2,2,2,2,4,4,0,2023-12-20 21:18:00,0
5188,5185,5185,5185,2034,24,197,24,146,2034,51,24,123,120,118,24,24,197,51,28,28,0,24,4,4,4,4,4,4,2,2,2,3,3,0,2023-12-20 21:20:00,0
5140,5143,5143,5143,2002,24,212,24,144,2002,68,24,124,118,118,24,24,212,68,28,28,0,24,4,4,4,4,3,0,2,2,2,6,6,1,2023-12-20 21:22:00,0
5149,5148,5148,5148,2014,24,214,24,147,2014,67,24,122,118,118,24,24,214,67,31,31,0,24,7,7,7,7,7,0,2,2,2,4,4,0,2023-12-20 21:24:00,0
5192,5192,5192,5192,2040,24,192,24,145,2040,47,24,122,119,118,24,24,192,47,27,27,0,24,3,3,3,3,3,2,2,2,2,3,3,0,2023-12-20 21:26:00,0
5221,5222,5222,5222,2038,24,223,24,146,2038,77,24,123,122,119,24,24,223,77,28,28,0,24,4,4,4,4,3,6,2,2,2,1,1,1,2023-12-20 21:28:00,0
5165,5164,5164,5164,2017,24,205,24,144,2017,61,24,124,119,118,24,24,205,61,28,28,0,24,4,4,4,4,4,2,2,2,2,5,5,0,2023-12-20 21:30:00,0
5185,5186,5186,5186,2028,22,212,22,149,2028,63,22,124,122,118,22,22,212,63,31,31,0,22,7,7,7,7,7,8,2,2,2,2,2,0,2023-12-20 21:32:00,0
5162,5162,5162,5162,2023,24,192,24,145,2023,47,24,124,121,118,24,24,192,47,28,28,0,24,4,4,4,4,4,6,2,2,2,3,3,0,2023-12-20 21:34:00,0
5180,5179,5179,5179,2023,24,205,24,145,2023,60,24,124,120,119,24,24,205,60,28,28,0,24,4,4,4,4,4,2,2,2,2,4,4,0,2023-12-20 21:36:00,0
5170,5171,5171,5171,2017,24,216,24,147,2017,69,24,122,120,117,24,24,216,69,31,31,0,24,7,7,7,7,6,6,2,2,2,2,2,1,2023-12-20 21:38:00,0
5191,5192,5191,5191,2031,24,205,24,146,2031,59,24,124,120,119,24,24,205,59,28,28,0,24,4,4,4,4,4,2,2,2,2,4,4,0,2023-12-20 21:40:00,0
5190,5189,5189,5189,2018,24,227,24,144,2018,83,24,125,122,119,24,24,227,83,27,27,0,24,3,3,3,3,3,6,2,2,2,3,3,0,2023-12-20 21:42:00,0
5177,5177,5177,5177,2021,24,213,24,145,2021,68,24,122,119,118,24,24,213,68,28,28,0,24,4,4,4,4,3,2,2,2,2,3,3,1,2023-12-20 21:44:00,0
5207,5208,5208,5208,2029,24,230,24,149,2029,81,24,124,122,118,24,24,230,81,32,32,0,24,8,8,8,8,8,8,2,2,2,2,2,0,2023-12-20 21:46:00,0
5110,5110,5110,5110,2002,24,187,24,143,2002,44,24,121,119,118,24,24,187,44,27,27,0,24,3,3,3,3,3,2,2,2,2,2,2,0,2023-12-20 21:48:00,0
5211,5211,5211,5211,2037,24,274,24,147,2037,127,24,119,119,118,24,24,274,76,29,29,0,24,5,5,4,4,4,2,2,2,2,0,0,0,2023-12-20 21:50:00,52
5214,5213,5213,5213,2038,24,213,24,146,2038,67,24,124,121,120,24,24,213,67,28,28,0,24,4,4,4,4,4,2,2,2,2,3,3,0,2023-12-20 21:52:00,0
5164,5164,5164,5164,2019,24,207,24,147,2019,60,24,123,120,117,24,24,207,60,31,31,0,24,7,7,7,7,6,6,2,2,2,3,3,1,2023-12-20 21:54:00,0
5190,5188,5188,5188,2025,24,214,24,146,2025,68,24,123,118,118,24,24,214,68,28,28,0,24,4,4,4,4,4,0,2,2,2,5,5,0,2023-12-20 21:56:00,0
6763,6766,6766,6766,2636,28,286,28,187,2636,99,28,161,157,155,28,28,286,99,35,35,0,28,4,4,4,4,3,4,3,3,3,4,4,1,2023-12-20 21:58:00,0
5203,5203,5203,5203,2023,24,231,24,149,2023,82,24,123,118,118,24,24,231,82,31,31,0,24,7,7,7,7,7,0,2,2,2,5,5,0,2023-12-20 22:00:00,0
5161,5159,5161,5161,2019,24,202,24,145,2019,57,24,121,120,118,24,24,202,57,28,28,0,24,4,4,4,4,4,4,2,2,2,1,1,0,2023-12-20 22:02:00,0
5173,5172,5172,5172,2024,24,202,24,144,2024,58,24,122,120,119,24,24,202,58,27,27,0,24,3,3,3,3,3,2,2,2,2,2,2,0,2023-12-20 22:04:00,0
5205,5205,5205,5205,2029,24,222,24,145,2029,77,24,122,120,119,24,24,222,77,28,28,0,24,4,4,4,4,4,2,2,2,2,2,2,0,2023-12-20 22:06:00,0
5199,5197,5197,5197,2028,24,224,24,149,2028,75,24,126,119,118,24,24,224,75,31,31,0,24,7,7,7,7,7,2,2,2,2,7,7,0,2023-12-20 22:08:00,0
5181,5184,5184,5184,2024,24,208,24,145,2024,63,24,125,121,118,24,24,208,63,28,28,0,24,4,4,4,4,3,6,2,2,2,4,4,1,2023-12-20 22:10:00,0
5153,5153,5153,5153,2013,24,204,24,144,2013,60,24,123,120,118,24,24,204,60,28,28,0,24,4,4,4,4,4,4,2,2,2,3,3,0,2023-12-20 22:12:00,0
5182,5181,5181,5181,2028,24,205,24,148,2028,57,24,125,122,118,24,24,205,57,31,31,0,24,7,7,7,7,6,8,2,2,2,3,3,1,2023-12-20 22:14:00,0
5181,5181,5182,5181,2023,24,206,24,145,2023,61,24,125,123,119,24,24,206,61,28,28,0,24,4,4,4,4,4,8,2,2,2,2,2,0,2023-12-20 22:16:00,0
5191,5191,5190,5191,2030,24,211,24,146,2030,65,24,121,118,118,24,24,211,65,28,28,0,24,4,4,4,4,4,0,2,2,2,3,3,0,2023-12-20 22:18:00,0
5151,5152,5152,5152,2019,24,196,24,142,2019,54,24,122,118,118,24,24,196,54,26,26,0,24,3,3,3,3,3,0,2,2,2,4,4,0,2023-12-20 22:20:00,0
5159,5158,5158,5158,2011,22,222,22,149,2011,73,22,124,119,118,22,22,222,73,32,32,0,22,8,8,8,8,8,2,2,2,2,5,5,0,2023-12-20 22:22:00,0
5159,5160,5160,5160,2016,24,204,24,144,2016,60,24,122,119,118,24,24,204,60,27,27,0,24,3,3,3,3,3,2,2,2,2,3,3,0,2023-12-20 22:24:00,0
5218,5218,5218,5218,2040,24,214,24,146,2040,68,24,124,121,119,24,24,214,68,28,28,0,24,4,4,4,4,3,4,2,2,2,3,3,1,2023-12-20 22:26:00,0
5176,5175,5175,5175,2020,24,215,24,145,2020,70,24,123,118,118,24,24,215,70,28,28,0,24,4,4,4,4,4,0,2,2,2,5,5,0,2023-12-20 22:28:00,0
5186,5187,5187,5187,2024,24,220,24,149,2024,71,24,120,118,117,24,24,220,71,31,31,0,24,7,7,7,7,6,2,2,2,2,2,2,1,2023-12-20 22:30:00,0
5189,5188,5188,5188,2030,24,210,24,145,2030,65,24,125,120,119,24,24,210,65,28,28,0,24,4,4,4,4,4,2,2,2,2,5,5,0,2023-12-20 22:32:00,0
5165,5186,5166,5166,2020,24,197,24,145,2020,52,24,124,119,118,24,24,197,52,28,28,0,24,4,4,4,4,4,2,2,2,2,5,5,0,2023-12-20 22:34:00,0
5177,5177,5177,5177,2026,24,208,24,149,2026,59,24,122,119,118,24,24,208,59,31,31,4,24,7,7,7,7,7,2,2,2,2,3,3,0,2023-12-20 22:36:00,0
5218,5218,5218,5218,2039,24,219,24,146,2039,73,24,124,122,119,24,24,219,73,28,28,0,24,4,4,4,4,4,6,2,2,2,2,2,0,2023-12-20 22:38:00,0
5209,5209,5209,5209,2034,24,220,24,144,2034,76,24,123,119,118,24,24,220,76,27,27,0,24,3,3,3,3,3,2,2,2,2,4,4,0,2023-12-20 22:40:00,0
5154,5153,5153,5153,2011,24,208,24,145,2011,63,24,125,121,119,24,24,208,63,28,28,0,24,4,4,4,4,3,4,2,2,2,4,4,1,2023-12-20 22:42:00,0
5140,5141,5141,5141,2011,24,212,24,147,2011,65,24,120,118,117,24,24,212,65,31,31,0,24,7,7,7,7,7,2,2,2,2,2,2,0,2023-12-20 22:44:00,0
5192,5191,5191,5191,2026,24,220,23,148,2026,72,23,125,121,118,23,23,220,72,30,30,0,23,5,4,4,4,3,6,2,2,2,4,4,1,2023-12-20 22:46:00,3
5172,5191,5172,5172,2021,22,211,23,145,2021,66,23,124,120,118,23,23,211,66,28,28,0,23,4,4,4,4,4,4,2,2,2,4,4,0,2023-12-20 22:48:00,0
5181,5181,5181,5181,2029,24,253,24,147,2029,106,24,121,119,118,24,24,253,55,29,29,0,24,5,5,4,4,4,2,2,2,2,2,2,0,2023-12-20 22:50:00,52
